Lambda[um],%T
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0.0008
1.55,0.0007
1.6,0.001
1.65,0.0007
1.7,0.0005
1.75,0.0004
1.8,0.0003
1.85,0.0003
1.9,0.0003
1.95,0.0005
2,0.0003
2.05,0.0002
2.1,0.0003
2.15,0
2.2,0.0003
2.25,0.0002
2.3,0.0002
2.35,0.0001
2.4,0.0002
2.45,0.0001
2.5,0.0002
2.55,0.0001
2.6,0.0001
2.65,0.0001
2.7,0.0003
2.75,0.0003
2.8,0.0001
2.85,0.0003
2.9,0.0001
2.95,0.0001
3,0.0001
3.05,0.0001
3.1,0.0002
3.15,0.0002
3.2,0.0002
3.25,0.0001
3.3,0.0001
3.35,0.0001
3.4,0
3.45,0
3.5,0.0002
3.55,0.0001
3.6,0.0001
3.65,0.0001
3.7,0.0001
3.75,0.0004
3.8,0.0001
3.85,0.0002
3.9,0.0001
3.95,0.0004
4,0.0012
4.05,0.0017
4.1,0.0017
4.15,0.0017
4.2,0.0023
4.25,0.0043
4.3,0.0037
4.35,0.002
4.4,0.0015
4.45,0.0012
4.5,0.0015
4.55,0.0015
4.6,0.0014
4.65,0.0012
4.7,0.0012
4.75,0.0009
4.8,0.0014
4.85,0.0012
4.9,0.0014
4.95,0.0011
5,0.0009
5.05,0.0011
5.1,0.001
5.15,0.0017
5.2,0.0012
5.25,0.0009
5.3,0.0009
5.35,0.001
5.4,0.001
5.45,0.0008
5.5,0.001
5.55,0.0009
5.6,0.0008
5.65,0.0009
5.7,0.001
5.75,0.0009
5.8,0.0008
5.85,0.0011
5.9,0.001
5.95,0.0008
6,0.0007
6.05,0.0013
6.1,0.0008
6.15,0.0006
6.2,0.0008
6.25,0.0007
6.3,0.0008
6.35,0.0009
6.4,0.0009
6.45,0.0011
6.5,0.0012
6.55,0.0009
6.6,0.0009
6.65,0.0011
6.7,0.0016
6.75,0.0011
6.8,0.0012
6.85,0.0014
6.9,0.001
6.95,0.0006
7,0.0001
7.05,0.0001
7.1,0.0004
7.15,0.0005
7.2,0.0004
7.25,0.0009
7.3,0.0009
7.35,0.0009
7.4,0.0013
7.45,0.0017
7.5,0.0026
7.55,0.0045
7.6,0.0073
7.65,0.0129
7.7,0.024
7.75,0.0423
7.8,0.0767
7.85,0.1479
7.9,0.2597
7.95,0.4296
8,0.6379
8.05,0.7928
8.1,0.8818
8.15,0.891
8.2,0.8793
8.25,0.8718
8.3,0.8764
8.35,0.8838
8.4,0.8847
8.45,0.8737
8.5,0.8537
8.55,0.8311
8.6,0.8153
8.65,0.8061
8.7,0.801
8.75,0.7948
8.8,0.7836
8.85,0.76
8.9,0.7297
8.95,0.7046
9,0.6957
9.05,0.7134
9.1,0.7495
9.15,0.7945
9.2,0.8286
9.25,0.8395
9.3,0.8337
9.35,0.8157
9.4,0.7974
9.45,0.7872
9.5,0.7862
9.55,0.7945
9.6,0.8095
9.65,0.8235
9.7,0.8361
9.75,0.8376
9.8,0.8333
9.85,0.8233
9.9,0.8123
9.95,0.8042
10,0.8016
10.05,0.8037
10.1,0.8091
10.15,0.8154
10.2,0.8202
10.25,0.8208
10.3,0.8144
10.35,0.808
10.4,0.7963
10.45,0.7859
10.5,0.7809
10.55,0.7802
10.6,0.7822
10.65,0.7884
10.7,0.797
10.75,0.8053
10.8,0.8141
10.85,0.8198
10.9,0.822
10.95,0.8203
11,0.8161
11.05,0.8107
11.1,0.8053
11.15,0.8013
11.2,0.7989
11.25,0.7968
11.3,0.7969
11.35,0.7969
11.4,0.7995
11.45,0.8029
11.5,0.8058
11.55,0.8097
11.6,0.8143
11.65,0.8216
11.7,0.8278
11.75,0.8319
11.8,0.8352
11.85,0.8388
11.9,0.8403
11.95,0.8395
12,0.8367
