Lambda[um],%T
0.1,0
0.15,0
0.2,0.06687
0.25,0.13374
0.3,0.20061
0.35,0.26748
0.4,0.33435
0.45,0.40122
0.5,0.46809
0.55,0.53496
0.6,0.60183
0.65,0.6687
0.7,0.8296
0.75,0.8473
0.8,0.8491
0.85,0.8493
0.9,0.8493
0.95,0.8486
1,0.8496
1.05,0.8495
1.1,0.849
1.15,0.8499
1.2,0.8503
1.25,0.8506
1.3,0.8501
1.35,0.8501
1.4,0.8504
1.45,0.8508
1.5,0.8583
1.55,0.8571
1.6,0.8583
1.65,0.8588
1.7,0.8589
1.75,0.8584
1.8,0.859
1.85,0.8583
1.9,0.8582
1.95,0.8585
2,0.8586
2.05,0.8587
2.1,0.8591
2.15,0.8592
2.2,0.86
2.25,0.8604
2.3,0.8609
2.35,0.8611
2.4,0.8614
2.45,0.8617
2.5,0.8618
2.55,0.8621
2.6,0.8621
2.65,0.8624
2.7,0.862
2.75,0.8626
2.8,0.8627
2.85,0.8628
2.9,0.8631
2.95,0.8634
3,0.8639
3.05,0.8644
3.1,0.865
3.15,0.8653
3.2,0.8656
3.25,0.866
3.3,0.8664
3.35,0.8667
3.4,0.866
3.45,0.8666
3.5,0.8666
3.55,0.8681
3.6,0.8685
3.65,0.8689
3.7,0.8692
3.75,0.8694
3.8,0.8696
3.85,0.8699
3.9,0.87
3.95,0.8702
4,0.8703
4.05,0.8702
4.1,0.87
4.15,0.8699
4.2,0.8672
4.25,0.8617
4.3,0.8622
4.35,0.8665
4.4,0.8662
4.45,0.8651
4.5,0.8636
4.55,0.8618
4.6,0.8595
4.65,0.8572
4.7,0.8539
4.75,0.8506
4.8,0.847
4.85,0.843
4.9,0.8394
4.95,0.8356
5,0.831
5.05,0.8259
5.1,0.8199
5.15,0.8136
5.2,0.8069
5.25,0.7999
5.3,0.7922
5.35,0.7838
5.4,0.7742
5.45,0.7646
5.5,0.7554
5.55,0.7457
5.6,0.7363
5.65,0.7259
5.7,0.7147
5.75,0.7021
5.8,0.6884
5.85,0.6728
5.9,0.6546
5.95,0.6359
6,0.6115
6.05,0.5752
6.1,0.5414
6.15,0.5109
6.2,0.4818
6.25,0.4557
6.3,0.4307
6.35,0.4001
6.4,0.3716
6.45,0.3478
6.5,0.3255
6.55,0.3098
6.6,0.295
6.65,0.2768
6.7,0.2563
6.75,0.2261
6.8,0.1777
6.85,0.1314
6.9,0.0989
6.95,0.0827
7,0.0834
7.05,0.0908
7.1,0.0914
7.15,0.0854
7.2,0.0762
7.25,0.0655
7.3,0.0517
7.35,0.0386
7.4,0.0259
7.45,0.0144
7.5,0.006
7.55,0.0026
7.6,0.0012
7.65,0.0005
7.7,0.0001
7.75,0.0001
7.8,0
7.85,0.0002
7.9,0.0002
7.95,0.0002
8,0.0001
8.05,0.0002
8.1,0
8.15,0.0002
8.2,0.0001
8.25,0.0002
8.3,0.0002
8.35,0.0001
8.4,0.0001
8.45,0.0003
8.5,0
8.55,0
8.6,0
8.65,0.0003
8.7,0.0002
8.75,0
8.8,0.0003
8.85,0.0002
8.9,0.0002
8.95,0
9,0.0002
9.05,0.0001
9.1,0
9.15,0.0001
9.2,0.0001
9.25,0
9.3,0.0002
9.35,0.0003
9.4,0
9.45,0.0002
9.5,0.0002
9.55,0.0002
9.6,0.0001
9.65,0.0002
9.7,0.0002
9.75,0.0001
9.8,0.0001
9.85,0.0001
9.9,0.0001
9.95,0.0001
10,0.0002
10.05,0.0001
10.1,0.0002
10.15,0.0002
10.2,0.0001
10.25,0.0002
10.3,0.0001
10.35,0.0002
10.4,0.0001
10.45,0
10.5,0.0002
10.55,0.0002
10.6,0.0001
10.65,0.0001
10.7,0.0001
10.75,0.0001
10.8,0.0002
10.85,0.0002
10.9,0.0002
10.95,0.0001
11,0.0003
11.05,0.0001
11.1,0.0001
11.15,0.0002
11.2,0.0002
11.25,0.0001
11.3,0.0001
11.35,0.0001
11.4,0.0004
11.45,0.0001
11.5,0.0002
11.55,0.0002
11.6,0.0003
11.65,0.0003
11.7,0.0002
