Lambda[um],T
0.1,0.0
0.15000000000000002,0.0
0.20000000000000004,0.0
0.25000000000000006,0.0
0.30000000000000004,0.0
0.3500000000000001,0.0
0.40000000000000013,0.0
0.45000000000000007,0.0
0.5000000000000001,0.0
0.5500000000000002,0.0
0.6000000000000002,0.0
0.6500000000000001,0.8153
0.7000000000000002,0.9392
0.7500000000000002,0.9503
0.8000000000000002,0.9502
0.8500000000000002,0.9519
0.9000000000000002,0.9511
0.9500000000000003,0.9502
1.0000000000000004,0.9503
1.0500000000000003,0.9499
1.1000000000000005,0.9493
1.1500000000000004,0.9499
1.2000000000000004,0.9497
1.2500000000000004,0.9494
1.3000000000000005,0.9495
1.3500000000000005,0.9494
1.4000000000000006,0.9484
1.4500000000000006,0.9495
1.5000000000000004,0.9382
1.5500000000000005,0.9383
1.6000000000000005,0.9385
1.6500000000000006,0.9394
1.7000000000000006,0.94
1.7500000000000007,0.94
1.8000000000000007,0.9403
1.8500000000000008,0.9394
1.9000000000000008,0.9396
1.9500000000000006,0.9403
2.0000000000000004,0.9399
2.0500000000000007,0.9402
2.100000000000001,0.9401
2.150000000000001,0.9402
2.2000000000000006,0.9403
2.250000000000001,0.9407
2.3000000000000007,0.9405
2.350000000000001,0.9407
2.400000000000001,0.9406
2.450000000000001,0.9409
2.500000000000001,0.9408
2.5500000000000007,0.9416
2.600000000000001,0.942
2.650000000000001,0.9424
2.700000000000001,0.942
2.750000000000001,0.9419
2.800000000000001,0.9424
2.850000000000001,0.9411
2.900000000000001,0.9414
2.950000000000001,0.9413
3.000000000000001,0.9414
3.050000000000001,0.9416
3.100000000000001,0.9418
3.1500000000000012,0.942
3.200000000000001,0.9422
3.2500000000000013,0.9422
3.300000000000001,0.9424
3.350000000000001,0.9421
3.4000000000000012,0.9419
3.450000000000001,0.9421
3.5000000000000013,0.9419
3.550000000000001,0.9427
3.6000000000000014,0.9428
3.6500000000000012,0.9428
3.7000000000000015,0.9429
3.7500000000000013,0.943
3.800000000000001,0.9429
3.8500000000000014,0.9431
3.9000000000000012,0.943
3.9500000000000015,0.9431
4.000000000000001,0.9431
4.050000000000002,0.9432
4.100000000000001,0.9434
4.150000000000001,0.9438
4.200000000000001,0.9464
4.250000000000001,0.9423
4.300000000000001,0.9445
4.350000000000001,0.944
4.400000000000001,0.9443
4.450000000000001,0.9443
4.500000000000001,0.9444
4.550000000000001,0.9446
4.600000000000001,0.9447
4.650000000000001,0.9448
4.700000000000001,0.945
4.750000000000001,0.9453
4.800000000000002,0.9454
4.850000000000001,0.9455
4.900000000000001,0.9458
4.950000000000001,0.9459
5.000000000000001,0.9461
5.050000000000002,0.9464
5.100000000000001,0.9465
5.150000000000001,0.9464
5.200000000000001,0.947
5.250000000000002,0.9471
5.300000000000002,0.9471
5.350000000000001,0.9475
5.400000000000001,0.9477
5.450000000000001,0.9479
5.500000000000002,0.9479
5.550000000000002,0.9482
5.600000000000001,0.9487
5.650000000000001,0.949
5.700000000000001,0.9491
5.750000000000002,0.949
5.800000000000002,0.949
5.850000000000001,0.9493
5.900000000000001,0.9481
5.950000000000002,0.9489
6.000000000000002,0.9491
6.050000000000002,0.9468
6.100000000000001,0.9499
6.150000000000001,0.9488
6.200000000000002,0.9487
6.250000000000002,0.9484
6.300000000000002,0.9481
6.350000000000001,0.9474
6.400000000000002,0.9503
6.450000000000002,0.949
6.500000000000002,0.9489
6.550000000000002,0.9502
6.600000000000001,0.9498
6.650000000000002,0.9499
6.700000000000002,0.9503
6.750000000000002,0.9495
6.800000000000002,0.9491
6.850000000000002,0.9523
6.900000000000002,0.9499
6.950000000000002,0.9495
7.000000000000002,0.949
7.050000000000002,0.9493
7.100000000000002,0.9491
7.150000000000002,0.949
7.200000000000002,0.9494
7.250000000000002,0.9488
7.3000000000000025,0.9488
7.350000000000002,0.9485
7.400000000000002,0.9481
7.450000000000002,0.9482
7.500000000000002,0.9474
7.5500000000000025,0.9472
7.600000000000002,0.9465
7.650000000000002,0.9458
7.700000000000002,0.9453
