Lambda[um],T
0.1,0.0
0.15000000000000002,0.0
0.20000000000000004,0.0
0.25000000000000006,0.0
0.30000000000000004,0.0
0.3500000000000001,0.0
0.40000000000000013,0.0
0.45000000000000007,0.0
0.5000000000000001,0.0
0.5500000000000002,0.0
0.6000000000000002,0.0
0.6500000000000001,0.0
0.7000000000000002,0.0
0.7500000000000002,0.0
0.8000000000000002,0.0
0.8500000000000002,0.0
0.9000000000000002,0.0
0.9500000000000003,0.0
1.0000000000000004,0.0
1.0500000000000003,0.0
1.1000000000000005,0.0
1.1500000000000004,0.0
1.2000000000000004,0.0
1.2500000000000004,0.0
1.3000000000000005,0.0
1.3500000000000005,0.0
1.4000000000000006,0.0
1.4500000000000006,0.0
1.5000000000000004,0.6778
1.5500000000000005,0.6817
1.6000000000000005,0.6794
1.6500000000000006,0.678
1.7000000000000006,0.6807
1.7500000000000007,0.6821
1.8000000000000007,0.6837
1.8500000000000008,0.6851
1.9000000000000008,0.6842
1.9500000000000006,0.6858
2.0000000000000004,0.6864
2.0500000000000007,0.687
2.100000000000001,0.688
2.150000000000001,0.6865
2.2000000000000006,0.6879
2.250000000000001,0.6883
2.3000000000000007,0.6886
2.350000000000001,0.6891
2.400000000000001,0.6895
2.450000000000001,0.69
2.500000000000001,0.6904
2.5500000000000007,0.6897
2.600000000000001,0.6905
2.650000000000001,0.69
2.700000000000001,0.6906
2.750000000000001,0.6908
2.800000000000001,0.6907
2.850000000000001,0.6914
2.900000000000001,0.6915
2.950000000000001,0.6924
3.000000000000001,0.6933
3.050000000000001,0.6939
3.100000000000001,0.6943
3.1500000000000012,0.6938
3.200000000000001,0.6935
3.2500000000000013,0.6934
3.300000000000001,0.6934
3.350000000000001,0.6931
3.4000000000000012,0.6917
3.450000000000001,0.6925
3.5000000000000013,0.6926
3.550000000000001,0.6937
3.6000000000000014,0.6935
3.6500000000000012,0.6937
3.7000000000000015,0.6937
3.7500000000000013,0.6936
3.800000000000001,0.6937
3.8500000000000014,0.694
3.9000000000000012,0.6938
3.9500000000000015,0.6945
4.000000000000001,0.6942
4.050000000000002,0.6939
4.100000000000001,0.6942
4.150000000000001,0.6942
4.200000000000001,0.6933
4.250000000000001,0.6943
4.300000000000001,0.6925
4.350000000000001,0.6941
4.400000000000001,0.695
4.450000000000001,0.6957
4.500000000000001,0.6955
4.550000000000001,0.6958
4.600000000000001,0.6962
4.650000000000001,0.6959
4.700000000000001,0.6955
4.750000000000001,0.6958
4.800000000000002,0.6964
4.850000000000001,0.6961
4.900000000000001,0.6962
4.950000000000001,0.6964
5.000000000000001,0.6961
5.050000000000002,0.6968
5.100000000000001,0.6969
5.150000000000001,0.6965
5.200000000000001,0.6968
5.250000000000002,0.6976
5.300000000000002,0.6969
5.350000000000001,0.6983
5.400000000000001,0.6975
5.450000000000001,0.6979
5.500000000000002,0.6976
5.550000000000002,0.6968
5.600000000000001,0.6983
5.650000000000001,0.6973
5.700000000000001,0.6972
5.750000000000002,0.6944
5.800000000000002,0.6951
5.850000000000001,0.6977
5.900000000000001,0.6982
5.950000000000002,0.6975
6.000000000000002,0.6984
6.050000000000002,0.7005
6.100000000000001,0.6969
6.150000000000001,0.6975
6.200000000000002,0.6982
6.250000000000002,0.6991
6.300000000000002,0.6991
6.350000000000001,0.6992
6.400000000000002,0.6969
6.450000000000002,0.6977
6.500000000000002,0.6982
6.550000000000002,0.6961
6.600000000000001,0.6977
6.650000000000002,0.6987
6.700000000000002,0.6987
6.750000000000002,0.6979
6.800000000000002,0.6977
6.850000000000002,0.6958
6.900000000000002,0.6987
6.950000000000002,0.6971
7.000000000000002,0.6987
7.050000000000002,0.6989
7.100000000000002,0.6997
7.150000000000002,0.6987
7.200000000000002,0.6984
7.250000000000002,0.699
7.3000000000000025,0.6986
7.350000000000002,0.699
7.400000000000002,0.7003
7.450000000000002,0.6983
7.500000000000002,0.699
7.5500000000000025,0.7004
7.600000000000002,0.7002
7.650000000000002,0.6995
7.700000000000002,0.6998
7.750000000000002,0.6981
