Lambda[um],T
0.1,0.0
0.15000000000000002,0.0
0.20000000000000004,0.0
0.25000000000000006,0.0
0.30000000000000004,0.0
0.3500000000000001,0.0
0.40000000000000013,0.0
0.45000000000000007,0.0
0.5000000000000001,0.0
0.5500000000000002,0.0
0.6000000000000002,0.0
0.6500000000000001,0.6704
0.7000000000000002,0.8296
0.7500000000000002,0.8474
0.8000000000000002,0.8488
0.8500000000000002,0.8496
0.9000000000000002,0.8494
0.9500000000000003,0.8487
1.0000000000000004,0.8497
1.0500000000000003,0.8494
1.1000000000000005,0.8491
1.1500000000000004,0.8499
1.2000000000000004,0.8503
1.2500000000000004,0.8506
1.3000000000000005,0.8501
1.3500000000000005,0.8501
1.4000000000000006,0.8503
1.4500000000000006,0.8508
1.5000000000000004,0.8581
1.5500000000000005,0.8571
1.6000000000000005,0.8583
1.6500000000000006,0.8588
1.7000000000000006,0.8588
1.7500000000000007,0.8584
1.8000000000000007,0.859
1.8500000000000008,0.8583
1.9000000000000008,0.8583
1.9500000000000006,0.8584
2.0000000000000004,0.8586
2.0500000000000007,0.8587
2.100000000000001,0.859
2.150000000000001,0.8592
2.2000000000000006,0.8599
2.250000000000001,0.8605
2.3000000000000007,0.8608
2.350000000000001,0.8611
2.400000000000001,0.8614
2.450000000000001,0.8617
2.500000000000001,0.8618
2.5500000000000007,0.862
2.600000000000001,0.862
2.650000000000001,0.8623
2.700000000000001,0.8621
2.750000000000001,0.8625
2.800000000000001,0.8627
2.850000000000001,0.8628
2.900000000000001,0.863
2.950000000000001,0.8634
3.000000000000001,0.8639
3.050000000000001,0.8644
3.100000000000001,0.865
3.1500000000000012,0.8653
3.200000000000001,0.8656
3.2500000000000013,0.8659
3.300000000000001,0.8664
3.350000000000001,0.8667
3.4000000000000012,0.866
3.450000000000001,0.8667
3.5000000000000013,0.8665
3.550000000000001,0.8681
3.6000000000000014,0.8685
3.6500000000000012,0.8689
3.7000000000000015,0.8692
3.7500000000000013,0.8694
3.800000000000001,0.8697
3.8500000000000014,0.8699
3.9000000000000012,0.87
3.9500000000000015,0.8702
4.000000000000001,0.8703
4.050000000000002,0.8702
4.100000000000001,0.87
4.150000000000001,0.8699
4.200000000000001,0.8667
4.250000000000001,0.8626
4.300000000000001,0.8625
4.350000000000001,0.8666
4.400000000000001,0.8661
4.450000000000001,0.865
4.500000000000001,0.8635
4.550000000000001,0.8617
4.600000000000001,0.8595
4.650000000000001,0.8571
4.700000000000001,0.8537
4.750000000000001,0.8504
4.800000000000002,0.8468
4.850000000000001,0.8428
4.900000000000001,0.8392
4.950000000000001,0.8354
5.000000000000001,0.8307
5.050000000000002,0.8256
5.100000000000001,0.8196
5.150000000000001,0.8132
5.200000000000001,0.8066
5.250000000000002,0.7995
5.300000000000002,0.7917
5.350000000000001,0.7832
5.400000000000001,0.7737
5.450000000000001,0.764
5.500000000000002,0.7549
5.550000000000002,0.7451
5.600000000000001,0.7357
5.650000000000001,0.7251
5.700000000000001,0.714
5.750000000000002,0.7014
5.800000000000002,0.6873
5.850000000000001,0.6716
5.900000000000001,0.6534
5.950000000000002,0.6344
6.000000000000002,0.6095
6.050000000000002,0.5723
6.100000000000001,0.5391
6.150000000000001,0.5089
6.200000000000002,0.4798
6.250000000000002,0.4538
6.300000000000002,0.4286
6.350000000000001,0.398
6.400000000000002,0.3699
6.450000000000002,0.3461
6.500000000000002,0.3241
6.550000000000002,0.3087
6.600000000000001,0.2936
6.650000000000002,0.2755
6.700000000000002,0.2539
6.750000000000002,0.2222
6.800000000000002,0.1735
6.850000000000002,0.1278
6.900000000000002,0.0962
6.950000000000002,0.0824
7.000000000000002,0.0839
7.050000000000002,0.0914
7.100000000000002,0.0909
7.150000000000002,0.0846
7.200000000000002,0.075
7.250000000000002,0.0642
7.3000000000000025,0.0501
7.350000000000002,0.0371
7.400000000000002,0.0246
7.450000000000002,0.0134
7.500000000000002,0.0053
7.5500000000000025,0.0024
7.600000000000002,0.0011
7.650000000000002,0.0005
7.700000000000002,0.0002
