Lambda[um],T_percent,T
1.49992500374981,0.08,0.0008
1.5001500150015,0.1,0.001
1.50037509377344,0.11,0.0011
1.50060024009604,0.1,0.001
1.5008254539997,0.08,0.0008
1.50105073551486,0.06,0.0006
1.50127608467197,0.05,0.0005
1.5015015015015,0.06,0.0006
1.50172698603394,0.07,0.0007
1.50195253829979,0.09,0.0009
1.50217815832958,0.09,0.0009
1.50240384615385,0.09,0.0009
1.50262960180316,0.09,0.0009
1.50285542530809,0.09,0.0009
1.50308131669923,0.09,0.0009
1.50330727600722,0.07,0.0007
1.50353330326267,0.06,0.0006
1.50375939849624,0.06,0.0006
1.50398556173861,0.08,0.0008
1.50421179302046,0.09,0.0009
1.5044380923725,0.08,0.0008
1.50466445982546,0.06,0.0006
1.50489089541008,0.04,0.0004
1.50511739915713,0.04,0.0004
1.5053439710974,0.04,0.0004
1.50557061126167,0.05,0.0005
1.50579731968077,0.07,0.0007
1.50602409638554,0.1,0.001
1.50625094140684,0.13,0.0013
1.50647785477553,0.14,0.0014
1.50670483652253,0.13,0.0013
1.50693188667872,0.1,0.001
1.50715900527506,0.08,0.0008
1.50738619234248,0.07,0.0007
1.50761344791196,0.05,0.0005
1.50784077201448,0.03,0.0003
1.50806816468104,0.01,0.0001
1.50829562594268,0.02,0.0002
1.50852315583044,0.05,0.0005
1.50875075437538,0.06,0.0006
1.50897842160857,0.04,0.0004
1.50920615756112,0.02,0.0002
1.50943396226415,0.02,0.0002
1.50966183574879,0.05,0.0005
1.5098897780462,0.07,0.0007
1.51011778918756,0.06,0.0006
1.51034586920405,0.04,0.0004
1.51057401812689,0.06,0.0006
1.51080223598731,0.09,0.0009
1.51103052281656,0.1,0.001
1.51125887864591,0.08,0.0008
1.51148730350665,0.06,0.0006
1.51171579743008,0.07,0.0007
1.51194436044754,0.08,0.0008
1.51217299259035,0.07,0.0007
1.5124016938899,0.04,0.0004
1.51263046437755,0.04,0.0004
1.51285930408472,0.06,0.0006
1.51308821304282,0.06,0.0006
1.51331719128329,0.04,0.0004
1.5135462388376,0.03,0.0003
1.51377535573721,0.05,0.0005
1.51400454201363,0.06,0.0006
1.51423379769836,0.04,0.0004
1.51446312282296,0.02,0.0002
1.51469251741896,0.03,0.0003
1.51492198151795,0.06,0.0006
1.51515151515152,0.06,0.0006
1.51538111835127,0.04,0.0004
1.51561079114883,0.04,0.0004
1.51584053357587,0.06,0.0006
1.51607034566404,0.08,0.0008
1.51630022744503,0.08,0.0008
1.51653017895056,0.06,0.0006
1.51676020021235,0.05,0.0005
1.51699029126214,0.06,0.0006
1.51722045213169,0.08,0.0008
1.51745068285281,0.08,0.0008
1.51768098345728,0.07,0.0007
1.51791135397693,0.07,0.0007
1.5181417944436,0.08,0.0008
1.51837230488916,0.09,0.0009
1.51860288534548,0.09,0.0009
1.51883353584447,0.08,0.0008
1.51906425641805,0.07,0.0007
1.51929504709815,0.07,0.0007
1.51952590791673,0.09,0.0009
1.51975683890578,0.12,0.0012
1.51998784009728,0.14,0.0014
1.52021891152326,0.14,0.0014
1.52045005321575,0.15,0.0015
1.52068126520681,0.15,0.0015
1.52091254752852,0.12,0.0012
1.52114390021296,0.08,0.0008
1.52137532329226,0.06,0.0006
1.52160681679854,0.05,0.0005
1.52183838076396,0.04,0.0004
1.5220700152207,0.02,0.0002
1.52230172020094,0.04,0.0004
1.52253349573691,0.06,0.0006
1.52276534186082,0.07,0.0007
1.52299725860493,0.05,0.0005
1.52322924600152,0.05,0.0005
1.52346130408288,0.06,0.0006
1.5236934328813,0.06,0.0006
1.52392563242914,0.06,0.0006
1.52415790275873,0.06,0.0006
1.52439024390244,0.08,0.0008
1.52462265589267,0.09,0.0009
1.52485513876182,0.07,0.0007
1.52508769254232,0.06,0.0006
1.52532031726663,0.05,0.0005
1.5255530129672,0.05,0.0005
1.52578577967653,0.05,0.0005
1.52601861742713,0.07,0.0007
1.52625152625153,0.1,0.001
1.52648450618226,0.09,0.0009
1.52671755725191,0.07,0.0007
1.52695067949305,0.07,0.0007
1.5271838729383,0.1,0.001
1.52741713762028,0.12,0.0012
1.52765047357165,0.11,0.0011
1.52788388082506,0.12,0.0012
1.5281173594132,0.15,0.0015
1.52835090936879,0.17,0.0017
1.52858453072455,0.16,0.0016
1.52881822351322,0.14,0.0014
1.52905198776758,0.11,0.0011
1.52928582352042,0.08,0.0008
1.52951973080453,0.06,0.0006
1.52975370965275,0.04,0.0004
1.52998776009792,0.03,0.0003
1.53022188217292,0.03,0.0003
1.53045607591062,0.04,0.0004
1.53069034134395,0.05,0.0005
1.53092467850582,0.05,0.0005
1.53115908742918,0.04,0.0004
1.53139356814701,0.03,0.0003
1.5316281206923,0.04,0.0004
1.53186274509804,0.05,0.0005
1.53209744139727,0.04,0.0004
1.53233220962305,0.02,0.0002
1.53256704980843,0.03,0.0003
1.53280196198651,0.07,0.0007
1.5330369461904,0.1,0.001
1.53327200245324,0.1,0.001
1.53350713080816,0.08,0.0008
1.53374233128834,0.07,0.0007
1.53397760392698,0.07,0.0007
1.53421294875729,0.06,0.0006
1.53444836581249,0.04,0.0004
1.53468385512584,0.05,0.0005
1.53491941673062,0.07,0.0007
1.53515505066012,0.1,0.001
1.53539075694764,0.1,0.001
1.53562653562654,0.09,0.0009
1.53586238673015,0.09,0.0009
1.53609831029186,0.11,0.0011
1.53633430634506,0.12,0.0012
1.53657037492317,0.08,0.0008
1.53680651605963,0.04,0.0004
1.53704272978789,0.06,0.0006
1.53727901614143,0.1,0.001
1.53751537515375,0.13,0.0013
1.53775180685837,0.11,0.0011
1.53798831128883,0.09,0.0009
1.5382248884787,0.1,0.001
1.53846153846154,0.11,0.0011
1.53869826127096,0.09,0.0009
1.5389350569406,0.06,0.0006
1.53917192550408,0.04,0.0004
1.53940886699507,0.04,0.0004
1.53964588144727,0.05,0.0005
1.53988296889436,0.07,0.0007
1.54012012937009,0.1,0.001
1.54035736290819,0.13,0.0013
1.54059466954244,0.16,0.0016
1.54083204930663,0.18,0.0018
1.54106950223455,0.17,0.0017
1.54130702836005,0.15,0.0015
1.54154462771697,0.12,0.0012
1.54178230033919,0.09,0.0009
1.5420200462606,0.07,0.0007
1.54225786551511,0.04,0.0004
1.54249575813667,0.03,0.0003
1.54273372415921,0.01,0.0001
1.54297176361673,0,0
1.54320987654321,0.01,0.0001
1.54344806297268,0.03,0.0003
1.54368632293918,0.05,0.0005
1.54392465647676,0.04,0.0004
1.54416306361952,0.03,0.0003
1.54440154440154,0.03,0.0003
1.54464009885697,0.04,0.0004
1.54487872701993,0.06,0.0006
1.5451174289246,0.07,0.0007
1.54535620460516,0.07,0.0007
1.54559505409583,0.07,0.0007
1.54583397743082,0.07,0.0007
1.5460729746444,0.09,0.0009
1.54631204577084,0.1,0.001
1.54655119084442,0.09,0.0009
1.54679040989946,0.07,0.0007
1.5470297029703,0.06,0.0006
1.54726907009129,0.05,0.0005
1.54750851129681,0.05,0.0005
1.54774802662127,0.07,0.0007
1.54798761609907,0.09,0.0009
1.54822727976467,0.1,0.001
1.54846701765252,0.11,0.0011
1.54870682979712,0.13,0.0013
1.54894671623296,0.17,0.0017
1.54918667699458,0.17,0.0017
1.54942671211652,0.14,0.0014
1.54966682163335,0.09,0.0009
1.54990700557967,0.07,0.0007
1.55014726399008,0.07,0.0007
1.55038759689923,0.07,0.0007
1.55062800434176,0.07,0.0007
1.55086848635236,0.08,0.0008
1.55110904296572,0.1,0.001
1.55134967421657,0.1,0.001
1.55159038013964,0.09,0.0009
1.55183116076971,0.08,0.0008
1.55207201614155,0.08,0.0008
1.55231294628997,0.09,0.0009
1.55255395124981,0.1,0.001
1.5527950310559,0.12,0.0012
1.55303618574313,0.14,0.0014
1.55327741534638,0.14,0.0014
1.55351871990057,0.12,0.0012
1.55376009944065,0.12,0.0012
1.55400155400155,0.12,0.0012
1.55424308361828,0.12,0.0012
1.55448468832582,0.1,0.001
1.5547263681592,0.09,0.0009
1.55496812315348,0.09,0.0009
1.5552099533437,0.09,0.0009
1.55545185876497,0.07,0.0007
1.5556938394524,0.05,0.0005
1.55593589544111,0.03,0.0003
1.55617802676626,0.03,0.0003
1.55642023346304,0.03,0.0003
1.55666251556663,0.05,0.0005
1.55690487311225,0.08,0.0008
1.55714730613516,0.09,0.0009
1.55738981467061,0.07,0.0007
1.55763239875389,0.07,0.0007
1.55787505842031,0.07,0.0007
1.5581177937052,0.07,0.0007
1.55836060464391,0.07,0.0007
1.55860349127182,0.07,0.0007
1.55884645362432,0.1,0.001
1.55908949173683,0.11,0.0011
1.55933260564478,0.1,0.001
1.55957579538366,0.09,0.0009
1.55981906098893,0.09,0.0009
1.5600624024961,0.1,0.001
1.56030581994071,0.1,0.001
1.5605493133583,0.08,0.0008
1.56079288278445,0.07,0.0007
1.56103652825476,0.09,0.0009
1.56128024980484,0.11,0.0011
1.56152404747033,0.09,0.0009
1.5617679212869,0.06,0.0006
1.56201187129022,0.04,0.0004
1.56225589751601,0.06,0.0006
1.5625,0.08,0.0008
1.56274417877793,0.08,0.0008
1.56298843388559,0.08,0.0008
1.56323276535876,0.08,0.0008
1.56347717323327,0.09,0.0009
1.56372165754496,0.07,0.0007
1.56396621832968,0.06,0.0006
1.56421085562334,0.05,0.0005
1.56445556946183,0.03,0.0003
1.56470035988108,0.02,0.0002
1.56494522691706,0.03,0.0003
1.56519017060573,0.04,0.0004
1.56543519098309,0.03,0.0003
1.56568028808517,0.02,0.0002
1.56592546194801,0.04,0.0004
1.56617071260767,0.07,0.0007
1.56641604010025,0.09,0.0009
1.56666144446185,0.08,0.0008
1.56690692572861,0.07,0.0007
1.56715248393669,0.07,0.0007
1.56739811912226,0.07,0.0007
1.56764383132152,0.05,0.0005
1.56788962057071,0.03,0.0003
1.56813548690607,0.03,0.0003
1.56838143036386,0.05,0.0005
1.56862745098039,0.07,0.0007
1.56887354879197,0.08,0.0008
1.56911972383493,0.08,0.0008
1.56936597614564,0.1,0.001
1.56961230576048,0.11,0.0011
1.56985871271586,0.09,0.0009
1.5701051970482,0.06,0.0006
1.57035175879397,0.05,0.0005
1.57059839798963,0.05,0.0005
1.57084511467169,0.03,0.0003
1.57109190887667,0.03,0.0003
1.57133878064111,0.06,0.0006
1.57158573000157,0.08,0.0008
1.57183275699466,0.09,0.0009
1.57207986165697,0.09,0.0009
1.57232704402516,0.09,0.0009
1.57257430413587,0.09,0.0009
1.57282164202579,0.09,0.0009
1.57306905773163,0.09,0.0009
1.57331655129012,0.09,0.0009
1.573564122738,0.09,0.0009
1.57381177211206,0.09,0.0009
1.57405949944908,0.1,0.001
1.57430730478589,0.09,0.0009
1.57455518815935,0.07,0.0007
1.5748031496063,0.06,0.0006
1.57505118916365,0.07,0.0007
1.57529930686831,0.07,0.0007
1.57554750275721,0.06,0.0006
1.57579577686732,0.05,0.0005
1.57604412923562,0.05,0.0005
1.57629255989912,0.05,0.0005
1.57654106889484,0.07,0.0007
1.57678965625986,0.08,0.0008
1.57703832203123,0.08,0.0008
1.57728706624606,0.08,0.0008
1.57753588894147,0.08,0.0008
1.57778479015462,0.07,0.0007
1.57803376992268,0.07,0.0007
1.57828282828283,0.06,0.0006
1.5785319652723,0.03,0.0003
1.57878118092832,0.02,0.0002
1.57903047528817,0.03,0.0003
1.57927984838913,0.07,0.0007
1.57952930026852,0.09,0.0009
1.57977883096367,0.09,0.0009
1.58002844051193,0.08,0.0008
1.5802781289507,0.09,0.0009
1.58052789631737,0.11,0.0011
1.58077774264938,0.11,0.0011
1.58102766798419,0.1,0.001
1.58127767235927,0.08,0.0008
1.58152775581211,0.07,0.0007
1.58177791838026,0.05,0.0005
1.58202816010125,0.04,0.0004
1.58227848101266,0.03,0.0003
1.58252888115208,0.02,0.0002
1.58277936055714,0.02,0.0002
1.58302991926547,0.03,0.0003
1.58328055731476,0.03,0.0003
1.58353127474268,0.04,0.0004
1.58378207158695,0.05,0.0005
1.58403294788532,0.06,0.0006
1.58428390367554,0.05,0.0005
1.5845349389954,0.05,0.0005
1.58478605388273,0.05,0.0005
1.58503724837534,0.05,0.0005
1.5852885225111,0.06,0.0006
1.58553987632789,0.06,0.0006
1.58579130986362,0.06,0.0006
1.58604282315623,0.06,0.0006
1.58629441624365,0.06,0.0006
1.58654608916389,0.05,0.0005
1.58679784195494,0.08,0.0008
1.58704967465482,0.1,0.001
1.58730158730159,0.1,0.001
1.58755357993332,0.07,0.0007
1.58780565258812,0.06,0.0006
1.58805780530411,0.07,0.0007
1.58831003811944,0.09,0.0009
1.58856235107228,0.07,0.0007
1.58881474420083,0.05,0.0005
1.5890672175433,0.04,0.0004
1.58931977113795,0.05,0.0005
1.58957240502305,0.05,0.0005
1.58982511923688,0.05,0.0005
1.59007791381778,0.05,0.0005
1.59033078880407,0.05,0.0005
1.59058374423413,0.04,0.0004
1.59083678014636,0.05,0.0005
1.59108989657916,0.07,0.0007
1.59134309357097,0.07,0.0007
1.59159637116027,0.04,0.0004
1.59184972938555,0.02,0.0002
1.5921031682853,0.01,0.0001
1.59235668789809,0.02,0.0002
1.59261028826246,0.02,0.0002
1.59286396941701,0.02,0.0002
1.59311773140035,0.03,0.0003
1.59337157425112,0.04,0.0004
1.59362549800797,0.06,0.0006
1.5938795027096,0.09,0.0009
1.59413358839471,0.1,0.001
1.59438775510204,0.1,0.001
1.59464200287036,0.08,0.0008
1.59489633173844,0.07,0.0007
1.5951507417451,0.05,0.0005
1.59540523292916,0.04,0.0004
1.5956598053295,0.02,0.0002
1.595914458985,0.02,0.0002
1.59616919393456,0.03,0.0003
1.59642401021711,0.05,0.0005
1.59667890787163,0.08,0.0008
1.59693388693708,0.1,0.001
1.59718894745248,0.1,0.001
1.59744408945687,0.07,0.0007
1.5976993129893,0.05,0.0005
1.59795461808885,0.07,0.0007
1.59821000479463,0.1,0.001
1.59846547314578,0.08,0.0008
1.59872102318145,0.05,0.0005
1.59897665494084,0.06,0.0006
1.59923236846314,0.1,0.001
1.59948816378759,0.12,0.0012
1.59974404095345,0.1,0.001
1.6,0.1,0.001
1.60025604096655,0.1,0.001
1.60051216389245,0.1,0.001
1.60076836881703,0.08,0.0008
1.6010246557797,0.07,0.0007
1.60128102481986,0.07,0.0007
1.60153747597694,0.07,0.0007
1.60179400929041,0.09,0.0009
1.60205062479974,0.11,0.0011
1.60230732254446,0.13,0.0013
1.6025641025641,0.12,0.0012
1.60282096489822,0.11,0.0011
1.60307790958641,0.1,0.001
1.60333493666827,0.09,0.0009
1.60359204618345,0.07,0.0007
1.60384923817161,0.05,0.0005
1.60410651267244,0.06,0.0006
1.60436386972565,0.09,0.0009
1.60462130937099,0.1,0.001
1.60487883164821,0.08,0.0008
1.60513643659711,0.06,0.0006
1.60539412425751,0.07,0.0007
1.60565189466924,0.08,0.0008
1.60590974787217,0.07,0.0007
1.6061676839062,0.05,0.0005
1.60642570281125,0.04,0.0004
1.60668380462725,0.05,0.0005
1.60694198939418,0.04,0.0004
1.60720025715204,0.04,0.0004
1.60745860794085,0.04,0.0004
1.60771704180064,0.05,0.0005
1.60797555877151,0.07,0.0007
1.60823415889354,0.08,0.0008
1.60849284220685,0.08,0.0008
1.60875160875161,0.08,0.0008
1.60901045856798,0.06,0.0006
1.60926939169617,0.05,0.0005
1.6095284081764,0.05,0.0005
1.60978750804894,0.05,0.0005
1.61004669135405,0.06,0.0006
1.61030595813205,0.06,0.0006
1.61056530842326,0.07,0.0007
1.61082474226804,0.08,0.0008
1.61108425970678,0.07,0.0007
1.61134386077989,0.05,0.0005
1.6116035455278,0.05,0.0005
1.61186331399097,0.07,0.0007
1.6121231662099,0.08,0.0008
1.61238310222509,0.08,0.0008
1.61264312207708,0.09,0.0009
1.61290322580645,0.09,0.0009
1.61316341345378,0.08,0.0008
1.6134236850597,0.06,0.0006
1.61368404066484,0.05,0.0005
1.61394448030988,0.03,0.0003
1.61420500403551,0.02,0.0002
1.61446561188247,0.03,0.0003
1.61472630389149,0.05,0.0005
1.61498708010336,0.05,0.0005
1.61524794055888,0.03,0.0003
1.61550888529887,0.02,0.0002
1.61576991436419,0.03,0.0003
1.61603102779573,0.06,0.0006
1.61629222563439,0.07,0.0007
1.61655350792111,0.08,0.0008
1.61681487469685,0.09,0.0009
1.61707632600259,0.09,0.0009
1.61733786187935,0.08,0.0008
1.61759948236817,0.07,0.0007
1.61786118751011,0.05,0.0005
1.61812297734628,0.05,0.0005
1.61838485191779,0.05,0.0005
1.61864681126578,0.06,0.0006
1.61890885543144,0.07,0.0007
1.61917098445596,0.08,0.0008
1.61943319838057,0.08,0.0008
1.61969549724652,0.07,0.0007
1.61995788109509,0.07,0.0007
1.6202203499676,0.07,0.0007
1.62048290390536,0.08,0.0008
1.62074554294976,0.09,0.0009
1.62100826714216,0.1,0.001
1.62127107652399,0.09,0.0009
1.6215339711367,0.08,0.0008
1.62179695102173,0.07,0.0007
1.6220600162206,0.08,0.0008
1.62232316677482,0.09,0.0009
1.62258640272595,0.09,0.0009
1.62284972411555,0.08,0.0008
1.62311313098523,0.08,0.0008
1.62337662337662,0.06,0.0006
1.62364020133138,0.04,0.0004
1.6239038648912,0.04,0.0004
1.62416761409778,0.04,0.0004
1.62443144899285,0.04,0.0004
1.6246953696182,0.04,0.0004
1.6249593760156,0.06,0.0006
1.62522346822688,0.07,0.0007
1.62548764629389,0.06,0.0006
1.62575191025849,0.04,0.0004
1.6260162601626,0.07,0.0007
