Lambda[um],T_percent,T
0.64,72.51,0.7251
0.640040962621608,72.44,0.7244
0.640081930487102,72.37,0.7237
0.640122903597491,72.3,0.723
0.64016388195378,72.23,0.7223
0.640204865556978,72.14,0.7214
0.640245854408093,71.99,0.7199
0.640286848508132,71.86,0.7186
0.640327847858103,71.79,0.7179
0.640368852459016,71.81,0.7181
0.64040986231188,71.87,0.7187
0.640450877417702,71.94,0.7194
0.640491897777493,71.98,0.7198
0.640532923392262,71.95,0.7195
0.64057395426302,71.84,0.7184
0.640614990390775,71.69,0.7169
0.640656031776539,71.56,0.7156
0.640697078421322,71.46,0.7146
0.640738130326136,71.43,0.7143
0.64077918749199,71.47,0.7147
0.640820249919898,71.55,0.7155
0.640861317610869,71.64,0.7164
0.640902390565917,71.71,0.7171
0.640943468786053,71.77,0.7177
0.64098455227229,71.83,0.7183
0.641025641025641,71.92,0.7192
0.641066735047118,72.06,0.7206
0.641107834337736,72.26,0.7226
0.641148938898506,72.48,0.7248
0.641190048730444,72.66,0.7266
0.641231163834562,72.77,0.7277
0.641272284211876,72.75,0.7275
0.6413134098634,72.59,0.7259
0.641354540790149,72.34,0.7234
0.641395676993137,72.09,0.7209
0.64143681847338,71.91,0.7191
0.641477965231894,71.87,0.7187
0.641519117269695,72,0.72
0.641560274587798,72.28,0.7228
0.641601437187219,72.63,0.7263
0.641642605068977,72.95,0.7295
0.641683778234086,73.16,0.7316
0.641724956683565,73.2,0.732
0.641766140418431,73.07,0.7307
0.641807329439702,72.84,0.7284
0.641848523748395,72.6,0.726
0.641889723345529,72.47,0.7247
0.641930928232122,72.51,0.7251
0.641972138409193,72.74,0.7274
0.642013353877761,73.1,0.731
0.642054574638844,73.5,0.735
0.642095800693464,73.81,0.7381
0.642137032042638,73.95,0.7395
0.642178268687388,73.89,0.7389
0.642219510628733,73.67,0.7367
0.642260757867694,73.36,0.7336
0.642302010405293,73.07,0.7307
0.642343268242549,72.91,0.7291
0.642384531380484,72.94,0.7294
