Lambda[um],T_percent,T
1.49992500374981,67.74,0.6774
1.50003750093752,67.78,0.6778
1.5001500150015,67.82,0.6782
1.50026254594554,67.86,0.6786
1.50037509377344,67.88,0.6788
1.50048765848901,67.87,0.6787
1.50060024009604,67.88,0.6788
1.50071283859833,67.91,0.6791
1.5008254539997,67.98,0.6798
1.50093808630394,68.09,0.6809
1.50105073551486,68.2,0.682
1.50116340163627,68.27,0.6827
1.50127608467197,68.28,0.6828
1.50138878462578,68.21,0.6821
1.5015015015015,68.08,0.6808
1.50161423530295,67.94,0.6794
1.50172698603394,67.83,0.6783
1.50183975369828,67.76,0.6776
1.50195253829979,67.73,0.6773
1.50206533984228,67.71,0.6771
1.50217815832958,67.69,0.6769
1.50229099376549,67.63,0.6763
1.50240384615385,67.53,0.6753
1.50251671549846,67.43,0.6743
1.50262960180316,67.35,0.6735
1.50274250507176,67.31,0.6731
1.50285542530809,67.33,0.6733
1.50296836251597,67.38,0.6738
1.50308131669923,67.45,0.6745
1.50319428786171,67.51,0.6751
1.50330727600722,67.56,0.6756
1.50342028113959,67.59,0.6759
1.50353330326267,67.62,0.6762
1.50364634238027,67.64,0.6764
1.50375939849624,67.65,0.6765
1.50387247161441,67.65,0.6765
1.50398556173861,67.64,0.6764
1.50409866887268,67.61,0.6761
1.50421179302046,67.58,0.6758
1.50432493418578,67.57,0.6757
1.5044380923725,67.58,0.6758
1.50455126758444,67.62,0.6762
1.50466445982546,67.68,0.6768
1.50477766909939,67.74,0.6774
1.50489089541008,67.78,0.6778
1.50500413876138,67.79,0.6779
1.50511739915713,67.78,0.6778
1.50523067660119,67.74,0.6774
1.5053439710974,67.7,0.677
1.50545728264961,67.67,0.6767
1.50557061126167,67.64,0.6764
1.50568395693744,67.64,0.6764
1.50579731968077,67.66,0.6766
1.50591069949552,67.69,0.6769
1.50602409638554,67.72,0.6772
1.5061375103547,67.75,0.6775
1.50625094140684,67.77,0.6777
1.50636438954583,67.76,0.6776
1.50647785477553,67.73,0.6773
1.50659133709981,67.7,0.677
1.50670483652253,67.68,0.6768
1.50681835304754,67.69,0.6769
1.50693188667872,67.73,0.6773
1.50704543741994,67.8,0.678
1.50715900527506,67.87,0.6787
