Lambda[um],T_percent,T
0.64,59,0.59
0.640040962621608,59.04,0.5904
0.640081930487102,59.09,0.5909
0.640122903597491,59.13,0.5913
0.64016388195378,59.18,0.5918
0.640204865556978,59.21,0.5921
0.640245854408093,59.19,0.5919
0.640286848508132,59.18,0.5918
0.640327847858103,59.23,0.5923
0.640368852459016,59.38,0.5938
0.64040986231188,59.6,0.596
0.640450877417702,59.85,0.5985
0.640491897777493,60.08,0.6008
0.640532923392262,60.25,0.6025
0.64057395426302,60.3,0.603
0.640614990390775,60.26,0.6026
0.640656031776539,60.17,0.6017
0.640697078421322,60.06,0.6006
0.640738130326136,59.99,0.5999
0.64077918749199,59.99,0.5999
0.640820249919898,60.06,0.6006
0.640861317610869,60.17,0.6017
0.640902390565917,60.27,0.6027
0.640943468786053,60.34,0.6034
0.64098455227229,60.35,0.6035
0.641025641025641,60.3,0.603
0.641066735047118,60.22,0.6022
0.641107834337736,60.13,0.6013
0.641148938898506,60.06,0.6006
0.641190048730444,60.03,0.6003
0.641231163834562,60.04,0.6004
0.641272284211876,60.08,0.6008
0.6413134098634,60.12,0.6012
0.641354540790149,60.14,0.6014
0.641395676993137,60.14,0.6014
0.64143681847338,60.1,0.601
0.641477965231894,60.05,0.6005
0.641519117269695,59.98,0.5998
0.641560274587798,59.93,0.5993
0.641601437187219,59.9,0.599
0.641642605068977,59.92,0.5992
0.641683778234086,59.98,0.5998
0.641724956683565,60.1,0.601
0.641766140418431,60.26,0.6026
0.641807329439702,60.44,0.6044
0.641848523748395,60.63,0.6063
0.641889723345529,60.79,0.6079
0.641930928232122,60.91,0.6091
0.641972138409193,60.98,0.6098
0.642013353877761,61,0.61
0.642054574638844,61,0.61
0.642095800693464,61,0.61
0.642137032042638,61.02,0.6102
0.642178268687388,61.08,0.6108
0.642219510628733,61.18,0.6118
0.642260757867694,61.31,0.6131
0.642302010405293,61.43,0.6143
0.642343268242549,61.52,0.6152
0.642384531380484,61.54,0.6154
0.642425799820121,61.51,0.6151
0.64246707356248,61.44,0.6144
0.642508352608584,61.34,0.6134
0.642549636959455,61.27,0.6127
0.642590926616116,61.24,0.6124
0.64263222157959,61.26,0.6126
0.6426735218509,61.32,0.6132
0.642714827431069,61.39,0.6139
0.642756138321121,61.46,0.6146
0.64279745452208,61.49,0.6149
0.64283877603497,61.49,0.6149
0.642880102860816,61.46,0.6146
0.642921435000643,61.44,0.6144
0.642962772455475,61.44,0.6144
0.643004115226337,61.46,0.6146
0.643045463314256,61.52,0.6152
0.643086816720257,61.58,0.6158
0.643128175445366,61.63,0.6163
0.64316953949061,61.64,0.6164
0.643210908857014,61.61,0.6161
0.643252283545607,61.55,0.6155
0.643293663557414,61.49,0.6149
0.643335048893464,61.44,0.6144
0.643376439554783,61.43,0.6143
0.643417835542401,61.47,0.6147
0.643459236857345,61.54,0.6154
0.643500643500644,61.63,0.6163
0.643542055473325,61.71,0.6171
0.643583472776419,61.75,0.6175
0.643624895410954,61.76,0.6176
0.643666323377961,61.74,0.6174
0.643707756678468,61.71,0.6171
0.643749195313506,61.71,0.6171
0.643790639284105,61.74,0.6174
0.643832088591295,61.82,0.6182
0.643873543236108,61.94,0.6194
0.643915003219575,62.06,0.6206
0.643956468542726,62.16,0.6216
0.643997939206595,62.23,0.6223
0.644039415212211,62.24,0.6224
0.644080896560608,62.2,0.622
0.644122383252818,62.14,0.6214
0.644163875289874,62.07,0.6207
0.644205372672808,62.01,0.6201
0.644246875402654,61.98,0.6198
0.644288383480446,61.99,0.6199
0.644329896907217,62.02,0.6202
0.644371415684,62.07,0.6207
0.644412939811831,62.13,0.6213
0.644454469291745,62.2,0.622
0.644496004124775,62.28,0.6228
0.644537544311956,62.36,0.6236
0.644579089854325,62.43,0.6243
0.644620640752917,62.5,0.625
0.644662197008767,62.56,0.6256
0.644703758622913,62.61,0.6261
0.644745325596389,62.65,0.6265
0.644786897930234,62.67,0.6267
0.644828475625484,62.69,0.6269
0.644870058683175,62.7,0.627
0.644911647104347,62.71,0.6271
0.644953240890035,62.73,0.6273
0.64499484004128,62.74,0.6274
0.645036444559118,62.76,0.6276
0.645078054444588,62.78,0.6278
0.645119669698729,62.8,0.628
0.645161290322581,62.84,0.6284
0.645202916317182,62.88,0.6288
0.645244547683572,62.95,0.6295
0.645286184422791,63.03,0.6303
0.64532782653588,63.11,0.6311
0.645369474023879,63.2,0.632
0.645411126887828,63.27,0.6327
0.645452785128768,63.32,0.6332
0.645494448747741,63.36,0.6336
0.645536117745788,63.39,0.6339
0.645577792123951,63.44,0.6344
0.645619471883272,63.52,0.6352
0.645661157024793,63.63,0.6363
0.645702847549558,63.76,0.6376
0.645744543458608,63.89,0.6389
0.645786244752987,64,0.64
0.645827951433738,64.06,0.6406
0.645869663501905,64.08,0.6408
0.645911380958532,64.04,0.6404
0.645953103804664,63.98,0.6398
0.645994832041344,63.93,0.6393
0.646036565669617,63.9,0.639
0.646078304690529,63.91,0.6391
0.646120049105124,63.97,0.6397
0.646161798914448,64.04,0.6404
0.646203554119548,64.1,0.641
0.646245314721468,64.13,0.6413
0.646287080721256,64.11,0.6411
0.646328852119959,64.07,0.6407
0.646370628918622,64.01,0.6401
0.646412411118294,63.99,0.6399
0.646454198720021,64.03,0.6403
0.646495991724851,64.12,0.6412
0.646537790133833,64.25,0.6425
0.646579593948015,64.37,0.6437
0.646621403168445,64.46,0.6446
0.646663217796172,64.47,0.6447
0.646705037832245,64.4,0.644
0.646746863277713,64.3,0.643
0.646788694133627,64.2,0.642
0.646830530401035,64.16,0.6416
0.646872372080988,64.22,0.6422
0.646914219174538,64.38,0.6438
0.646956071682733,64.59,0.6459
0.646997929606625,64.8,0.648
0.647039792947266,64.94,0.6494
0.647081661705707,64.98,0.6498
0.647123535883,64.9,0.649
0.647165415480197,64.76,0.6476
0.64720730049835,64.61,0.6461
0.647249190938511,64.54,0.6454
0.647291086801735,64.58,0.6458
0.647332988089073,64.73,0.6473
0.64737489480158,64.96,0.6496
0.647416806940308,65.21,0.6521
0.647458724506313,65.4,0.654
0.647500647500647,65.47,0.6547
0.647542575924367,65.41,0.6541
0.647584509778526,65.27,0.6527
0.64762644906418,65.1,0.651
0.647668393782383,64.97,0.6497
0.647710343934193,64.93,0.6493
0.647752299520663,65,0.65
