Lambda[um],T_percent,T
1.49992500374981,0.2,0.002
1.50003750093752,0.17,0.0017
1.5001500150015,0.23,0.0023
1.50026254594554,0.35,0.0035
1.50037509377344,0.49,0.0049
1.50048765848901,0.58,0.0058
1.50060024009604,0.61,0.0061
1.50071283859833,0.6,0.006
1.5008254539997,0.57,0.0057
1.50093808630394,0.55,0.0055
1.50105073551486,0.57,0.0057
1.50116340163627,0.59,0.0059
1.50127608467197,0.58,0.0058
1.50138878462578,0.51,0.0051
1.5015015015015,0.37,0.0037
1.50161423530295,0.19,0.0019
1.50172698603394,0.03,0.0003
1.50183975369828,-0.05,-0.0005
1.50195253829979,-0.06,-0.0006
1.50206533984228,-0.02,-0.0002
1.50217815832958,0.04,0.0004
1.50229099376549,0.06,0.0006
1.50240384615385,0.02,0.0002
1.50251671549846,-0.05,-0.0005
1.50262960180316,-0.1,-0.001
1.50274250507176,-0.08,-0.0008
1.50285542530809,0.02,0.0002
1.50296836251597,0.19,0.0019
1.50308131669923,0.37,0.0037
1.50319428786171,0.51,0.0051
1.50330727600722,0.56,0.0056
1.50342028113959,0.52,0.0052
1.50353330326267,0.42,0.0042
1.50364634238027,0.31,0.0031
1.50375939849624,0.23,0.0023
1.50387247161441,0.2,0.002
1.50398556173861,0.22,0.0022
1.50409866887268,0.25,0.0025
1.50421179302046,0.27,0.0027
1.50432493418578,0.26,0.0026
1.5044380923725,0.21,0.0021
1.50455126758444,0.15,0.0015
1.50466445982546,0.09,0.0009
1.50477766909939,0.06,0.0006
1.50489089541008,0.07,0.0007
1.50500413876138,0.11,0.0011
1.50511739915713,0.17,0.0017
1.50523067660119,0.21,0.0021
1.5053439710974,0.23,0.0023
1.50545728264961,0.22,0.0022
1.50557061126167,0.18,0.0018
1.50568395693744,0.16,0.0016
1.50579731968077,0.16,0.0016
1.50591069949552,0.21,0.0021
1.50602409638554,0.28,0.0028
1.5061375103547,0.36,0.0036
1.50625094140684,0.4,0.004
1.50636438954583,0.39,0.0039
1.50647785477553,0.34,0.0034
1.50659133709981,0.28,0.0028
1.50670483652253,0.24,0.0024
1.50681835304754,0.26,0.0026
1.50693188667872,0.33,0.0033
1.50704543741994,0.41,0.0041
1.50715900527506,0.47,0.0047
1.50727259024795,0.45,0.0045
1.50738619234248,0.35,0.0035
1.50749981156252,0.21,0.0021
1.50761344791196,0.06,0.0006
1.50772710139465,-0.02,-0.0002
1.50784077201448,-0.02,-0.0002
1.50795445977531,0.04,0.0004
1.50806816468104,0.12,0.0012
1.50818188673554,0.17,0.0017
1.50829562594268,0.17,0.0017
1.50840938230636,0.14,0.0014
1.50852315583044,0.13,0.0013
1.50863694651882,0.19,0.0019
1.50875075437538,0.32,0.0032
1.508864579404,0.51,0.0051
1.50897842160857,0.68,0.0068
1.50909228099298,0.79,0.0079
1.50920615756112,0.8,0.008
1.50932005131688,0.71,0.0071
1.50943396226415,0.57,0.0057
1.50954789040682,0.44,0.0044
1.50966183574879,0.36,0.0036
1.50977579829395,0.32,0.0032
1.5098897780462,0.29,0.0029
1.51000377500944,0.25,0.0025
1.51011778918756,0.16,0.0016
1.51023182058446,0.04,0.0004
1.51034586920405,-0.07,-0.0007
1.51045993505022,-0.12,-0.0012
1.51057401812689,-0.1,-0.001
1.51068811843795,-0.01,-0.0001
1.51080223598731,0.09,0.0009
1.51091637077888,0.16,0.0016
1.51103052281656,0.16,0.0016
1.51114469210427,0.1,0.001
1.51125887864591,0.02,0.0002
1.5113730824454,-0.02,-0.0002
1.51148730350665,0,0
1.51160154183357,0.11,0.0011
1.51171579743008,0.25,0.0025
1.5118300703001,0.38,0.0038
1.51194436044754,0.44,0.0044
1.51205866787631,0.39,0.0039
1.51217299259035,0.26,0.0026
1.51228733459357,0.1,0.001
1.5124016938899,-0.04,-0.0004
1.51251607048325,-0.12,-0.0012
1.51263046437755,-0.11,-0.0011
1.51274487557673,-0.03,-0.0003
1.51285930408472,0.08,0.0008
1.51297374990544,0.18,0.0018
1.51308821304282,0.24,0.0024
1.51320269350079,0.26,0.0026
1.51331719128329,0.24,0.0024
1.51343170639425,0.2,0.002
1.5135462388376,0.17,0.0017
1.51366078861727,0.13,0.0013
1.51377535573721,0.1,0.001
1.51388994020135,0.07,0.0007
1.51400454201363,0.04,0.0004
1.51411916117798,0.02,0.0002
1.51423379769836,0.02,0.0002
1.51434845157871,0.05,0.0005
1.51446312282296,0.1,0.001
1.51457781143506,0.17,0.0017
1.51469251741896,0.24,0.0024
1.51480724077861,0.28,0.0028
1.51492198151795,0.3,0.003
1.51503673964094,0.31,0.0031
1.51515151515152,0.31,0.0031
1.51526630805364,0.32,0.0032
1.51538111835127,0.36,0.0036
1.51549594604834,0.41,0.0041
1.51561079114883,0.49,0.0049
1.51572565365669,0.59,0.0059
1.51584053357587,0.7,0.007
1.51595543091033,0.81,0.0081
1.51607034566404,0.9,0.009
1.51618527784095,0.96,0.0096
1.51630022744503,0.97,0.0097
1.51641519448025,0.92,0.0092
1.51653017895056,0.81,0.0081
1.51664518085994,0.68,0.0068
1.51676020021235,0.57,0.0057
1.51687523701176,0.5,0.005
1.51699029126214,0.49,0.0049
1.51710536296746,0.53,0.0053
1.51722045213169,0.6,0.006
1.51733555875882,0.64,0.0064
1.51745068285281,0.65,0.0065
1.51756582441763,0.6,0.006
1.51768098345728,0.52,0.0052
1.51779615997572,0.42,0.0042
1.51791135397693,0.34,0.0034
1.5180265654649,0.3,0.003
1.5181417944436,0.3,0.003
1.51825704091703,0.33,0.0033
1.51837230488916,0.38,0.0038
1.51848758636398,0.43,0.0043
1.51860288534548,0.46,0.0046
1.51871820183765,0.46,0.0046
1.51883353584447,0.43,0.0043
1.51894888736994,0.36,0.0036
1.51906425641805,0.25,0.0025
1.51917964299278,0.1,0.001
1.51929504709815,-0.06,-0.0006
1.51941046873813,-0.2,-0.002
1.51952590791673,-0.27,-0.0027
1.51964136463795,-0.27,-0.0027
1.51975683890578,-0.18,-0.0018
1.51987233072422,-0.03,-0.0003
1.51998784009728,0.13,0.0013
1.52010336702896,0.24,0.0024
1.52021891152326,0.26,0.0026
1.52033447358419,0.19,0.0019
1.52045005321575,0.03,0.0003
1.52056565042196,-0.14,-0.0014
1.52068126520681,-0.27,-0.0027
1.52079689757433,-0.31,-0.0031
1.52091254752852,-0.24,-0.0024
1.52102821507339,-0.06,-0.0006
1.52114390021296,0.15,0.0015
1.52125960295124,0.32,0.0032
1.52137532329226,0.41,0.0041
1.52149106124002,0.36,0.0036
1.52160681679854,0.21,0.0021
1.52172258997185,0,0
1.52183838076396,-0.21,-0.0021
1.52195418917891,-0.34,-0.0034
1.5220700152207,-0.36,-0.0036
1.52218585889337,-0.26,-0.0026
1.52230172020094,-0.07,-0.0007
1.52241759914745,0.15,0.0015
1.52253349573691,0.33,0.0033
1.52264940997335,0.43,0.0043
1.52276534186082,0.4,0.004
1.52288129140334,0.27,0.0027
1.52299725860493,0.09,0.0009
1.52311324346965,-0.07,-0.0007
1.52322924600152,-0.11,-0.0011
1.52334526620459,-0.01,-0.0001
1.52346130408288,0.23,0.0023
1.52357735964044,0.53,0.0053
1.5236934328813,0.78,0.0078
1.52380952380952,0.89,0.0089
1.52392563242914,0.81,0.0081
1.52404175874419,0.56,0.0056
1.52415790275873,0.25,0.0025
1.52427406447679,-0.01,-0.0001
1.52439024390244,-0.13,-0.0013
1.52450644103971,-0.09,-0.0009
1.52462265589267,0.06,0.0006
1.52473888846535,0.23,0.0023
1.52485513876182,0.32,0.0032
1.52497140678612,0.29,0.0029
1.52508769254232,0.16,0.0016
1.52520399603447,0,0
1.52532031726663,-0.1,-0.001
1.52543665624285,-0.11,-0.0011
1.5255530129672,-0.02,-0.0002
1.52566938744374,0.11,0.0011
1.52578577967653,0.2,0.002
1.52590218966964,0.21,0.0021
1.52601861742713,0.14,0.0014
1.52613506295307,0.02,0.0002
1.52625152625153,-0.09,-0.0009
1.52636800732657,-0.14,-0.0014
1.52648450618226,-0.13,-0.0013
1.52660102282269,-0.1,-0.001
1.52671755725191,-0.07,-0.0007
1.52683410947401,-0.09,-0.0009
1.52695067949305,-0.14,-0.0014
1.52706726731313,-0.2,-0.002
1.5271838729383,-0.21,-0.0021
1.52730049637266,-0.15,-0.0015
1.52741713762028,-0.02,-0.0002
1.52753379668525,0.13,0.0013
1.52765047357165,0.26,0.0026
1.52776716828355,0.34,0.0034
1.52788388082506,0.36,0.0036
1.52800061120024,0.34,0.0034
1.5281173594132,0.3,0.003
1.52823412546802,0.26,0.0026
1.52835090936879,0.22,0.0022
1.5284677111196,0.17,0.0017
1.52858453072455,0.09,0.0009
1.52870136818772,-0.01,-0.0001
1.52881822351322,-0.11,-0.0011
1.52893509670515,-0.17,-0.0017
1.52905198776758,-0.18,-0.0018
1.52916889670464,-0.15,-0.0015
1.52928582352042,-0.09,-0.0009
1.52940276821901,-0.06,-0.0006
1.52951973080453,-0.08,-0.0008
1.52963671128107,-0.14,-0.0014
1.52975370965275,-0.2,-0.002
1.52987072592366,-0.22,-0.0022
1.52998776009792,-0.15,-0.0015
1.53010481217963,0,0
1.53022188217292,0.19,0.0019
1.53033897008187,0.36,0.0036
1.53045607591062,0.45,0.0045
1.53057319966327,0.45,0.0045
1.53069034134395,0.39,0.0039
1.53080750095675,0.3,0.003
1.53092467850582,0.24,0.0024
1.53104187399525,0.23,0.0023
1.53115908742918,0.24,0.0024
1.53127631881173,0.25,0.0025
1.53139356814701,0.25,0.0025
1.53151083543916,0.21,0.0021
1.5316281206923,0.17,0.0017
1.53174542391055,0.16,0.0016
1.53186274509804,0.19,0.0019
1.5319800842589,0.26,0.0026
1.53209744139727,0.35,0.0035
1.53221481651728,0.41,0.0041
1.53233220962305,0.44,0.0044
1.53244962071872,0.41,0.0041
1.53256704980843,0.37,0.0037
1.53268449689631,0.33,0.0033
1.53280196198651,0.32,0.0032
1.53291944508316,0.31,0.0031
1.5330369461904,0.3,0.003
1.53315446531238,0.27,0.0027
1.53327200245324,0.19,0.0019
1.53338955761711,0.09,0.0009
1.53350713080816,-0.02,-0.0002
1.53362472203052,-0.09,-0.0009
1.53374233128834,-0.12,-0.0012
1.53385995858578,-0.11,-0.0011
1.53397760392698,-0.06,-0.0006
1.5340952673161,0,0
1.53421294875729,0.07,0.0007
1.5343306482547,0.12,0.0012
1.53444836581249,0.17,0.0017
1.53456610143482,0.19,0.0019
1.53468385512584,0.18,0.0018
1.53480162688972,0.15,0.0015
1.53491941673062,0.1,0.001
1.5350372246527,0.07,0.0007
1.53515505066012,0.08,0.0008
1.53527289475704,0.15,0.0015
1.53539075694764,0.25,0.0025
1.53550863723608,0.35,0.0035
1.53562653562654,0.41,0.0041
1.53574445212317,0.4,0.004
1.53586238673015,0.3,0.003
1.53598033945166,0.17,0.0017
1.53609831029186,0.06,0.0006
1.53621629925494,0.05,0.0005
1.53633430634506,0.15,0.0015
1.53645233156641,0.34,0.0034
1.53657037492317,0.54,0.0054
1.53668843641952,0.69,0.0069
1.53680651605963,0.72,0.0072
1.53692461384769,0.6,0.006
1.53704272978789,0.39,0.0039
1.53716086388441,0.15,0.0015
1.53727901614143,-0.05,-0.0005
1.53739718656315,-0.14,-0.0014
1.53751537515375,-0.15,-0.0015
1.53763358191743,-0.11,-0.0011
1.53775180685837,-0.06,-0.0006
1.53787004998078,-0.06,-0.0006
1.53798831128883,-0.1,-0.001
1.53810659078674,-0.17,-0.0017
1.5382248884787,-0.21,-0.0021
1.53834320436889,-0.19,-0.0019
1.53846153846154,-0.09,-0.0009
1.53857989076083,0.05,0.0005
1.53869826127096,0.21,0.0021
1.53881664999615,0.33,0.0033
1.5389350569406,0.4,0.004
1.5390534821085,0.41,0.0041
1.53917192550408,0.41,0.0041
1.53929038713153,0.41,0.0041
1.53940886699507,0.46,0.0046
1.53952736509891,0.54,0.0054
1.53964588144727,0.63,0.0063
1.53976441604435,0.69,0.0069
1.53988296889436,0.69,0.0069
1.54000154000154,0.62,0.0062
1.54012012937009,0.48,0.0048
