T[C],T[K],R[Ohm]
-20,253.15,270966
-19,254.15,256359
-18,255.15,242619
-17,256.15,229621
-16,257.15,217523
-15,258.15,206067
-14,259.15,195276
-13,260.15,185109
-12,261.15,175527
-11,262.15,166494
-10,263.15,157974
-9,264.15,149936
-8,265.15,142351
-7,266.15,135190
-6,267.15,128428
-5,268.15,122041
-4,269.15,116005
-3,270.15,110301
-2,271.15,104907
-1,272.15,99806
0,273.15,94980
1,274.15,90413
2,275.15,86090
3,276.15,81996
4,277.15,78119
5,278.15,75445
6,279.15,70964
7,280.15,67663
8,281.15,65534
9,282.15,61565
10,283.15,58749
11,284.15,56076
12,285.15,53538
13,286.15,51129
14,287.15,48841
15,288.15,46667
16,289.15,44600
17,290.15,42636
18,291.15,40769
19,292.15,38993
20,293.15,37303
21,294.15,35696
22,295.15,34165
23,296.15,32709
24,297.15,31321
25,298.15,30000
26,299.15,28741
27,300.15,27541
28,301.15,26398
29,302.15,25307
30,303.15,24268
31,304.15,23276
32,305.15,22329
33,306.15,21426
34,307.15,20564
35,308.15,19741
36,309.15,18955
37,310.15,18204
38,311.15,17487
39,312.15,16801
40,313.15,16146
41,314.15,15520
42,315.15,14920
43,316.15,14347
44,317.15,13799
45,318.15,13275
46,319.15,12773
47,320.15,12292
48,321.15,11832
49,322.15,11391
50,323.15,10969
51,324.15,10564
52,325.15,10177
53,326.15,9804.9
54,327.15,9448.7
55,328.15,9107.1
56,329.15,8779.5
57,330.15,8465.3
58,331.15,8163.8
59,332.15,7874.5
60,333.15,7596.8
61,334.15,7330.2
62,335.15,7075.3
63,336.15,6828.5
64,337.15,6592.5
65,338.15,6365.7
66,339.15,6147.8
67,340.15,5938.4
68,341.15,5737
69,342.15,5543.5
70,343.15,5357.4
71,344.15,5178.4
72,345.15,5006.3
73,346.15,4840.7
74,347.15,4681.3
75,348.15,4527.9
76,349.15,4380.3
77,350.15,4238.1
78,351.15,4101.2
79,352.15,3969.4
80,353.15,3842.4
81,354.15,3720.1
82,355.15,3602.2
83,356.15,3488.6
84,357.15,3379.1
85,358.15,3273.6
86,359.15,3171.8
87,360.15,3073.7
88,361.15,2979
89,362.15,2887.7
90,363.15,2799.6
91,364.15,2714.6
92,365.15,2632.5
93,366.15,2553.3
94,367.15,2476.9
95,368.15,2403
96,369.15,2331.7
97,370.15,2262.9
98,371.15,2196.4
99,372.15,2132.1
100,373.15,2070
101,374.15,2009.9
102,375.15,1951.8
103,376.15,1895.7
104,377.15,1841.4
105,378.15,1789
106,379.15,1738.2
107,380.15,1689.1
108,381.15,1641.7
109,382.15,1595.7
110,383.15,1551.3
111,384.15,1508.3
112,385.15,1466.6
113,386.15,1426.3
114,387.15,1387.3
115,388.15,1349.6
116,389.15,1313
117,390.15,1277.6
118,391.15,1243.2
119,392.15,1210
120,393.15,1177.8
121,394.15,1146.6
122,395.15,1116.3
123,396.15,1087
124,397.15,1058.6
125,398.15,1031
126,399.15,1004.3
127,400.15,978.37
128,401.15,953.23
129,402.15,928.85
130,403.15,905.2
131,404.15,882.25
132,405.15,859.97
133,406.15,838.36
134,407.15,817.38
135,408.15,797.02
136,409.15,777.24
137,410.15,758.05
138,411.15,739.4
139,412.15,721.3
140,413.15,703.71
141,414.15,686.3
142,415.15,670.03
143,416.15,653.9
144,417.15,638.23
145,418.15,623
146,419.15,608.2
147,420.15,593.81
148,421.15,579.82
149,422.15,566.22
150,423.15,552.99
