,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,geometry,burn_unit
0,2023-03-19 13:54:46+00:00,DATALOG_3_2023-03-19T13:54:46+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T13:54:46+00:00.csv,30.547115,-86.75241,3,1,1.0,POINT (523747.44403242593 3379438.7356774216),unknown
1,2023-03-19 13:55:24+00:00,DATALOG_3_2023-03-19T13:55:24+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T13:55:24+00:00.csv,30.547232,-86.752437,3,2,1.0,POINT (523744.8258627848 3379451.695681315),unknown
2,2023-03-19 13:55:38+00:00,DATALOG_3_2023-03-19T13:55:38+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T13:55:38+00:00.csv,30.547207,-86.752435,3,2,1.0,POINT (523745.023776 3379448.9256557073),unknown
3,2023-03-19 13:55:50+00:00,DATALOG_3_2023-03-19T13:55:50+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T13:55:50+00:00.csv,30.547193,-86.752437,3,4,1.0,POINT (523744.83535387495 3379447.3737841942),unknown
4,2023-03-19 13:58:58+00:00,DATALOG_3_2023-03-19T13:58:58+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T13:58:58+00:00.csv,30.547068,-86.75242,3,4,1.0,POINT (523746.49632433424 3379433.525130883),unknown
5,2023-03-19 13:59:22+00:00,DATALOG_3_2023-03-19T13:59:22+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T13:59:22+00:00.csv,30.54707,-86.752423,3,4,1.0,POINT (523746.20809340285 3379433.7461346914),unknown
6,2023-03-19 13:59:38+00:00,DATALOG_3_2023-03-19T13:59:38+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T13:59:38+00:00.csv,30.547068,-86.752423,3,11,1.0,POINT (523746.2085801509 3379433.5244989465),unknown
7,2023-03-19 14:01:10+00:00,DATALOG_3_2023-03-19T14:01:10+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_3_2023-03-19T14:01:10+00:00.csv,30.547052,-86.75248,3,19385,1.0,POINT (523740.7453337574 3379431.7394076507),unknown
8,2023-03-19 13:42:43+00:00,DATALOG_13_2023-03-19T13:42:43+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_13_2023-03-19T13:42:43+00:00.csv,30.554388,-86.743385,13,60,1.0,POINT (524611.2393005897 3380246.650608834),unknown
9,2023-03-19 14:13:14+00:00,DATALOG_14_2023-03-19T14:13:14+00:00,/home/jepaki/Projects/Objects/RadiometerData/Eglin_2023-03/G20_2023-03-19/DB,Clean/DATALOG_14_2023-03-19T14:13:14+00:00.csv,30.553092,-86.742507,14,14059,1.0,POINT (524695.7742538176 3380103.222498301),unknown
