,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,geometry,burn_unit
0,2022-02-03 13:53:59+00:00,DATALOG_5_2022-02-03T13:53:59+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_5_2022-02-03T13:53:59+00:00.csv,30.239038,-82.409377,5,14410,1.0,POINT (364389.01389490964 3346113.2561548688),E2
1,2022-02-03 13:50:16+00:00,DATALOG_21_2022-02-03T13:50:16+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_21_2022-02-03T13:50:16+00:00.csv,30.239015,-82.410027,21,10384,1.0,POINT (364326.43269235734 3346111.4822877734),E4
2,2022-02-03 16:50:38+00:00,DATALOG_21_2022-02-03T16:50:38+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_21_2022-02-03T16:50:38+00:00.csv,30.238538,-82.410093,21,10320,1.0,POINT (364319.426147841 3346058.6956844376),A1
3,2022-02-03 13:46:59+00:00,DATALOG_23_2022-02-03T13:46:59+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_23_2022-02-03T13:46:59+00:00.csv,30.23927,-82.410148,23,10857,1.0,POINT (364315.1392022602 3346139.8879774343),E4
4,2022-02-03 17:09:39+00:00,DATALOG_23_2022-02-03T17:09:39+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_23_2022-02-03T17:09:39+00:00.csv,30.237995,-82.410175,23,9549,1.0,POINT (364310.7891724254 3345998.613474739),A1
5,2022-02-03 15:38:30+00:00,DATALOG_14_2022-02-03T15:38:30+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_14_2022-02-03T15:38:30+00:00.csv,30.237913,-82.412473,14,11909,1.0,POINT (364089.53700366395 3345992.2692222414),A2
6,2022-02-03 15:44:09+00:00,DATALOG_A1_2022-02-03T15:44:09+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_A1_2022-02-03T15:44:09+00:00.csv,30.23799,-82.412135,A1,11498,1.0,POINT (364122.1691278098 3346000.3992051017),A2
7,2022-02-03 13:35:58+00:00,DATALOG_8_2022-02-03T13:35:58+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_8_2022-02-03T13:35:58+00:00.csv,30.239245,-82.41073,8,11680,1.0,POINT (364259.0990083696 3346137.811721213),E4
8,2022-02-03 16:54:01+00:00,DATALOG_8_2022-02-03T16:54:01+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_8_2022-02-03T16:54:01+00:00.csv,30.238367,-82.410483,8,10578,1.0,POINT (364281.6611903738 3346040.209265746),A1
9,2022-02-03 13:52:37+00:00,DATALOG_19_2022-02-03T13:52:37+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_19_2022-02-03T13:52:37+00:00.csv,30.23877,-82.410067,19,10003,1.0,POINT (364322.24688344495 3346084.376948568),E4
