,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,geometry,burn_unit
0,2022-03-02 21:50:01+00:00,6.3_F5_2022-03-02T21:50:01+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F5_2022-03-02T21:50:01+00:00.csv,32.052218,-81.740197,F5,76718,1.0,POINT (430123.2349812755 3546463.23218431),F6.3
1,2022-03-01 19:51:12+00:00,6.3_F19_2022-03-01T19:51:12+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F19_2022-03-01T19:51:12+00:00.csv,32.059095,-81.732445,F19,80986,1.0,POINT (430860.2364447225 3547220.538471631),F6.4
2,2022-03-02 21:16:50+00:00,6.3_F19_2022-03-02T21:16:50+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F19_2022-03-02T21:16:50+00:00.csv,32.051248,-81.737905,F19,78269,1.0,POINT (430338.87685611227 3546354.2289466923),F6.3
3,2022-03-02 21:23:18+00:00,6.3_W2_2022-03-02T21:23:18+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W2_2022-03-02T21:23:18+00:00.csv,32.055428,-81.742527,W2,77423,1.0,POINT (429905.7181557546 3546820.5631595235),F6.3
4,2022-03-01 17:23:16+00:00,6.3_W4_2022-03-01T17:23:16+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W4_2022-03-01T17:23:16+00:00.csv,32.047508,-81.730353,W4,90841,1.0,POINT (431049.027939933 3545934.812057389),F6.4
5,2022-03-02 22:05:34+00:00,6.3_W4_2022-03-02T22:05:34+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W4_2022-03-02T22:05:34+00:00.csv,32.067948,-81.740218,W4,72000,1.0,POINT (430133.21034682036 3548206.878146185),F6.3
6,2022-03-02 20:46:48+00:00,6.3_F11_2022-03-02T20:46:48+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F11_2022-03-02T20:46:48+00:00.csv,32.059788,-81.736288,F11,78092,1.0,POINT (430497.98846414365 3547299.8239665967),F6.3
7,2022-03-01 16:33:48+00:00,6.3_E7_2022-03-01T16:33:48+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_E7_2022-03-01T16:33:48+00:00.csv,32.061417,-81.725222,E7,92697,1.0,POINT (431543.8031375028 3547473.322165294),F6.4
8,2022-03-02 21:35:30+00:00,6.3_E7_2022-03-02T21:35:30+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_E7_2022-03-02T21:35:30+00:00.csv,32.061147,-81.743615,E7,75253,1.0,POINT (429807.3761048913 3547455.207490203),F6.3
9,2022-03-01 20:01:23+00:00,6.3_F10_2022-03-01T20:01:23+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F10_2022-03-01T20:01:23+00:00.csv,32.056913,-81.730762,F10,82293,1.0,POINT (431017.4709861503 3546977.592527309),F6.4
