,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,burn_unit,geometry,max_FRP_index,max_FRP_datetime,max_FRP,mean_FRP,var_FRP,MW_FRE,LW_FRE,processed_file,fire_duration,pstart_ind,pend_ind,fire_start,fire_end,over_1000FRP_duration
0,2022-03-02T21:50:01+00:00,6.3_F5_2022-03-02T21:50:01+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F5_2022-03-02T21:50:01+00:00.csv,32.052218,-81.740197,F5,76718,1.0,F6.3,POINT (430123.2349812755 3546463.23218431),65467,2022-03-03 16:01:08+00:00,11260.679043528036,4870.039125038069,7137188.934379908,3051717.59963847,3014495.641166081,Processed/6.3_F5_2022-03-02T21:50:01+00:00,7.833333333333333,65136,65606,2022-03-03 15:55:37+00:00,2022-03-03 16:03:27+00:00,10.483333333333333
1,2022-03-01T19:51:12+00:00,6.3_F19_2022-03-01T19:51:12+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F19_2022-03-01T19:51:12+00:00.csv,32.059095,-81.732445,F19,80986,1.0,F6.4,POINT (430860.2364447225 3547220.538471631),76983,2022-03-02 17:14:15+00:00,11377.096035058823,2036.8750328566657,2302923.0798593624,2115698.5328305503,2112984.2933405056,Processed/6.3_F19_2022-03-01T19:51:12+00:00,14.75,76219,77104,2022-03-02 17:01:31+00:00,2022-03-02 17:16:16+00:00,17.45
2,2022-03-02T21:16:50+00:00,6.3_F19_2022-03-02T21:16:50+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F19_2022-03-02T21:16:50+00:00.csv,32.051248,-81.737905,F19,78269,1.0,F6.3,POINT (430338.87685611227 3546354.2289466923),67903,2022-03-03 16:08:33+00:00,9160.900063294957,3443.7187233543473,6247814.598942858,2007835.2861478734,2011131.7344389386,Processed/6.3_F19_2022-03-02T21:16:50+00:00,7.166666666666667,67771,68201,2022-03-03 16:06:21+00:00,2022-03-03 16:13:31+00:00,9.816666666666666
3,2022-03-02T21:23:18+00:00,6.3_W2_2022-03-02T21:23:18+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W2_2022-03-02T21:23:18+00:00.csv,32.055428,-81.742527,W2,77423,1.0,F6.3,POINT (429905.7181557546 3546820.5631595235),67255,2022-03-03 16:04:13+00:00,40164.897433757076,6600.764446360437,58842476.9949089,5812635.321762407,6000094.881741637,Processed/6.3_W2_2022-03-02T21:23:18+00:00,11.05,67053,67716,2022-03-03 16:00:51+00:00,2022-03-03 16:11:54+00:00,15.566666666666666
4,2022-03-01T17:23:16+00:00,6.3_W4_2022-03-01T17:23:16+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W4_2022-03-01T17:23:16+00:00.csv,32.047508,-81.730353,W4,90841,1.0,F6.4,POINT (431049.027939933 3545934.812057389),82952,2022-03-02 16:25:48+00:00,7199.142786590911,3122.6908359062877,4163627.6575582027,795963.048746366,793435.5862426106,Processed/6.3_W4_2022-03-01T17:23:16+00:00,3.433333333333333,82897,83103,2022-03-02 16:24:53+00:00,2022-03-02 16:28:19+00:00,4.216666666666667
5,2022-03-02T22:05:34+00:00,6.3_W4_2022-03-02T22:05:34+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W4_2022-03-02T22:05:34+00:00.csv,32.067948,-81.740218,W4,72000,1.0,F6.3,POINT (430133.21034682036 3548206.878146185),64381,2022-03-03 15:58:35+00:00,19313.1779311677,5367.131269923341,20757209.088539757,3517900.6980547183,3483757.1855964325,Processed/6.3_W4_2022-03-02T22:05:34+00:00,7.816666666666666,64266,64735,2022-03-03 15:56:40+00:00,2022-03-03 16:04:29+00:00,10.783333333333333
6,2022-03-02T20:46:48+00:00,6.3_F11_2022-03-02T20:46:48+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F11_2022-03-02T20:46:48+00:00.csv,32.059788,-81.736288,F11,78092,1.0,F6.3,POINT (430497.98846414365 3547299.8239665967),68337,2022-03-03 15:45:45+00:00,31429.13354070527,5477.405907469354,55098810.22770499,3287081.657249818,3262845.693352622,Processed/6.3_F11_2022-03-02T20:46:48+00:00,6.033333333333333,68244,68606,2022-03-03 15:44:12+00:00,2022-03-03 15:50:14+00:00,10.1
7,2022-03-01T16:33:48+00:00,6.3_E7_2022-03-01T16:33:48+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_E7_2022-03-01T16:33:48+00:00.csv,32.061417,-81.725222,E7,92697,1.0,F6.4,POINT (431543.8031375028 3547473.322165294),87982,2022-03-02 17:00:10+00:00,5884.025765355457,2924.8878306535307,1267465.9453764157,1088847.6130736086,1076358.7216804994,Processed/6.3_E7_2022-03-01T16:33:48+00:00,5.0,87975,88275,2022-03-02 17:00:03+00:00,2022-03-02 17:05:03+00:00,6.133333333333334
8,2022-03-02T21:35:30+00:00,6.3_E7_2022-03-02T21:35:30+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_E7_2022-03-02T21:35:30+00:00.csv,32.061147,-81.743615,E7,75253,1.0,F6.3,POINT (429807.3761048913 3547455.207490203),68544,2022-03-03 16:37:54+00:00,7150.638135170484,2847.604895450588,1444117.5767830696,6401844.7217152165,6421015.140691962,Processed/6.3_E7_2022-03-02T21:35:30+00:00,30.316666666666666,67204,69023,2022-03-03 16:15:34+00:00,2022-03-03 16:45:53+00:00,38.86666666666667
9,2022-03-01T20:01:23+00:00,6.3_F10_2022-03-01T20:01:23+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F10_2022-03-01T20:01:23+00:00.csv,32.056913,-81.730762,F10,82293,1.0,F6.4,POINT (431017.4709861503 3546977.592527309),73256,2022-03-02 16:22:19+00:00,22525.667671641266,7045.186582900233,38786029.92586324,1881098.1973566557,1860838.2959131214,Processed/6.3_F10_2022-03-01T20:01:23+00:00,2.8666666666666667,73233,73405,2022-03-02 16:21:56+00:00,2022-03-02 16:24:48+00:00,4.4
10,2022-03-02T21:21:52+00:00,6.3_F10_2022-03-02T21:21:52+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F10_2022-03-02T21:21:52+00:00.csv,32.052098,-81.73794,F10,77373,1.0,F6.3,POINT (430336.21666401456 3546448.4718264174),66678,2022-03-03 15:53:10+00:00,6684.528762199758,2766.9631894501968,2561015.9028735617,1664661.0668408996,1676974.6342333334,Processed/6.3_F10_2022-03-02T21:21:52+00:00,8.266666666666667,66584,67080,2022-03-03 15:51:36+00:00,2022-03-03 15:59:52+00:00,10.733333333333333
11,2022-03-02T20:29:04+00:00,6.3_W1_2022-03-02T20:29:04+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W1_2022-03-02T20:29:04+00:00.csv,32.062855,-81.735302,W1,78234,1.0,F6.3,POINT (430593.3804382081 3547639.1588851754),69858,2022-03-03 15:53:22+00:00,17253.05667302779,5202.910755718546,13656203.856911236,2209044.3017073893,2181199.091113715,Processed/6.3_W1_2022-03-02T20:29:04+00:00,5.133333333333334,69682,69990,2022-03-03 15:50:26+00:00,2022-03-03 15:55:34+00:00,6.95
