Plot_Name,Burn_Unit,Longitude,Latitude,Elevation
4.3,F3.3,-81.70059582,31.99597382,28.3280525
17.4,F6.6,-81.72232109,32.04583949,28.14857946
19.4,F6.6,-81.71464425,32.0380498,28.45728521
30.5,F6.6,-81.71519842,32.03927144,28.12616686
50.6,F6.6,-81.70734432,32.0280423,29.14523081
51.6,F6.6,-81.69384077,32.028036,29.3138425
58.1,F8.2,-81.77759661,32.0442218,29.93728323
69.3,F8.2,-81.77888934,32.05137981,30.03960681
99.7,F8.2,-81.77839003,32.04376316,30.14685862
T01.1,F3.3,-81.70186454,31.98682849,28.27677204
T01.1,F6.6,-81.71800973,32.03755216,27.80099303
T01.1,F8.1,-81.7946908061688,32.0577966721746,35.6511610726875
T02.1,F6.6,-81.71203641,32.0324331,28.06060507
T02.2,F8.1,-81.79763721,32.05880778,35.4389281
T03.1,F6.6,-81.72145365,32.0456373,28.33149443
T03.2,F3.3,-81.69786795,31.99119722,29.02116517
T03.3,F8.1,-81.798448285094,32.0525901615872,37.3919217405803
T04.2,F6.6,-81.71031993,32.0336178,28.30377349
T04.3,F3.3,-81.70328552,31.99578852,28.15586877
T04.3,F8.1,-81.79348935,32.06482523,34.34339798
T05.2,F6.6,-81.72363147,32.04054803,28.45437922
T05.4,F3.3,-81.70773693,31.99460299,29.49924887
T05.4,F8.1,-81.8038415271243,32.0568614520493,40.0513883456922
T06.2,F6.6,-81.71976591,32.04061969,27.81260865
T06.4,F3.3,-81.69843619,31.99778519,27.94357207
T06.4,F8.1,-81.79954329,32.06712631,37.33442409
T07.3,F6.6,-81.71682136,32.03338831,26.97520587
T07.4,F3.3,-81.69356315,31.99742687,29.65287906
T07.5,F8.1,-81.7940315951585,32.0526591443792,39.7327396431658
T08.3,F6.6,-81.72253639,32.04445686,27.83333939
T08.5,F3.3,-81.69883014,31.99432939,29.16487571
T08.6,F8.1,-81.8044603136689,32.0537351512022,39.675888568769
T09.3,F6.6,-81.70461524,32.02928163,30.36783023
T09.5,F3.3,-81.70069429,31.99133891,29.50493731
T09.7,F8.1,-81.79543011,32.05708483,35.58517369
T10.3,F6.6,-81.71397617,32.03589441,27.10021646
T10.5,F3.3,-81.70153016,31.98838006,28.36968346
T10.7,F8.1,-81.79975859,32.06689262,37.22072968
T11.4,F6.6,-81.71710948,32.0318209,28.12998296
T11.5,F3.3,-81.69442094,31.99668757,28.02086011
T11.8,F8.1,-81.7928407369487,32.051529022317,34.4710542892467
T12.5,F3.3,-81.7075420744759,31.9976179336309,29.2105921682403
T12.8,F8.1,-81.80673492,32.0550359,40.04741948
T13.4,F6.6,-81.72114428,32.04074154,27.12934379
T13.6,F3.3,-81.69595836,31.98862687,27.05468595
T13.8,F8.1,-81.79508592,32.0665303,34.07378536
T14.4,F6.6,-81.71547629,32.032768,28.31615701
T14.6,F3.3,-81.69905852,31.99403492,29.33767924
T14.9,F8.1,-81.78632085,32.06041657,31.44409765
T15.6,F3.3,-81.7035373,31.99725731,28.15036853
T15.9,F8.1,-81.80156496,32.06458434,38.87410465
T16.10,F8.1,-81.8037706,32.06292444,41.15489092
T16.5,F6.6,-81.71750497,32.02885826,28.82072031
T16.6,F3.3,-81.70359855,31.99748082,27.65688131
T17.10,F8.1,-81.80165961,32.06239528,39.88235768
T17.5,F6.6,-81.71635439,32.02853254,28.8217358
T17.6,F3.3,-81.70223206,31.9979018,28.19288517
T18.1,F8.2,-81.78694981,32.04976983,30.0744212
T18.5,F6.6,-81.71059147,32.03596794,29.06005413
T18.7,F3.3,-81.70955757,31.99523737,27.5776104
T19.5,F6.6,-81.70436779,32.02949487,29.39536257
T19.7,F3.3,-81.69726808,31.99827427,29.34099145
T20.2,F8.2,-81.77937704,32.04088036,28.13274324
T20.5,F6.6,-81.71112585,32.02902058,28.50854053
T20.7,F3.3,-81.6957531,31.99219072,28.4384063
T21.2,F8.2,-81.78500937,32.05522101,31.60629544
T21.6,F6.6,-81.71585347,32.03564806,28.11765855
T21.7,F3.3,-81.70134431,31.99788242,28.75607735
T22.6,F6.6,-81.7044355,32.03082455,28.65454216
T22.7,F3.3,-81.7058396225892,31.9946346862917,29.5217764952876
T23.4,F8.2,-81.7725731,32.03649216,29.0897591
T23.8,F3.3,-81.70462766,31.98863677,28.91364328
T24.5,F8.2,-81.77286236,32.03871784,28.75415023
T24.6,F6.6,-81.70408426,32.02913559,29.33547743
T24.8,F3.3,-81.69867539,31.99855007,29.80387294
T25.5,F8.2,-81.77195757,32.0369449,28.76086296
T25.6,F6.6,-81.7220199,32.04601055,28.79854029
T25.8,F3.3,-81.70887957,31.99659825,26.95298336
T26.6,F6.6,-81.71185053,32.03389963,27.19824273
T26.6,F8.2,-81.78320204,32.04984565,30.81475942
T26.8,F3.3,-81.69689576,31.98968082,28.55838028
T27.6,F8.2,-81.78336427,32.05947679,30.39708744
T27.8,F3.3,-81.69627475,31.99059941,28.70288783
T28.7,F6.6,-81.7204901,32.04224064,27.54971454
T28.7,F8.2,-81.78206296,32.04101732,29.48679467
T28.9,F3.3,-81.6990603,31.98367397,27.05986131
T29.10,F3.3,-81.6880329,31.99357256,25.87892789
T30.10,F3.3,-81.70866205,31.99610666,27.06979401
T30.8,F6.6,-81.72818388,32.04567309,27.51078011
T30.8,F8.2,-81.77267707,32.0424913,29.31890401
